dataset,model,pooling,n_shots,seed,k,accuracy,macro_f1
cifar10,dinov2_vits14_reg,cls,10,1,20,0.9205999970436096,0.9203650957021023
cifar10,dinov2_vits14_reg,cls,10,2,1,0.8902000188827515,0.8898377748145452
cifar10,dinov2_vits14_reg,cls,10,2,5,0.9028000235557556,0.9024063198426869
cifar10,dinov2_vits14_reg,cls,10,2,20,0.9071999788284302,0.9067287617189457
cifar10,dinov2_vits14_reg,cls,20,0,1,0.9072999954223633,0.9072495060610496
cifar10,dinov2_vits14_reg,cls,20,0,5,0.9247999787330627,0.9245474975676103
cifar10,dinov2_vits14_reg,cls,20,0,20,0.9322999715805054,0.9320586080185622
cifar10,dinov2_vits14_reg,cls,20,1,1,0.911899983882904,0.9115628556707266
cifar10,dinov2_vits14_reg,cls,20,1,5,0.9248999953269958,0.9247856526185808
cifar10,dinov2_vits14_reg,cls,20,1,20,0.9276999831199646,0.9275323632505081
cifar10,dinov2_vits14_reg,cls,20,2,1,0.9139000177383423,0.9133417737153107
cifar10,dinov2_vits14_reg,cls,20,2,5,0.9243999719619751,0.9239523580697003
cifar10,dinov2_vits14_reg,cls,20,2,20,0.9297999739646912,0.9294251569101085
cifar10,dinov2_vits14_reg,cls,50,0,1,0.9247000217437744,0.9250507978789196
cifar10,dinov2_vits14_reg,cls,50,0,5,0.9391999840736389,0.9394621764700946
cifar10,dinov2_vits14_reg,cls,50,0,20,0.9434999823570251,0.9437201598883596
cifar10,dinov2_vits14_reg,cls,50,1,1,0.9264000058174133,0.926367326372125
cifar10,dinov2_vits14_reg,cls,50,1,5,0.9376000165939331,0.9375334265484359
cifar10,dinov2_vits14_reg,cls,50,1,20,0.942300021648407,0.9422101612233116
cifar10,dinov2_vits14_reg,cls,50,2,1,0.9204999804496765,0.9202749350820673
cifar10,dinov2_vits14_reg,cls,50,2,5,0.9363999962806702,0.9361808188306855
cifar10,dinov2_vits14_reg,cls,50,2,20,0.9391999840736389,0.93894474786997
cifar10,dinov2_vits14_reg,cls,100,0,1,0.9297999739646912,0.9298121274679358
cifar10,dinov2_vits14_reg,cls,100,0,5,0.945900022983551,0.9459794840728317
cifar10,dinov2_vits14_reg,cls,100,0,20,0.95169997215271,0.9517740062400157
cifar10,dinov2_vits14_reg,cls,100,1,1,0.9334999918937683,0.933544505966226
cifar10,dinov2_vits14_reg,cls,100,1,5,0.946399986743927,0.9464890060104008
cifar10,dinov2_vits14_reg,cls,100,1,20,0.9502999782562256,0.9503672648084862
cifar10,dinov2_vits14_reg,cls,100,2,1,0.9337999820709229,0.9336763511322632
cifar10,dinov2_vits14_reg,cls,100,2,5,0.9466999769210815,0.946561984832759
cifar10,dinov2_vits14_reg,cls,100,2,20,0.9503999948501587,0.9502766791746156
cifar10,dinov2_vits14_reg,mean_pool,1,0,1,0.784600019454956,0.77739992074338
cifar10,dinov2_vits14_reg,mean_pool,1,0,5,0.784600019454956,0.77739992074338
cifar10,dinov2_vits14_reg,mean_pool,1,0,20,0.784600019454956,0.77739992074338
cifar10,dinov2_vits14_reg,mean_pool,1,1,1,0.6916999816894531,0.6907265992681859
cifar10,dinov2_vits14_reg,mean_pool,1,1,5,0.6916999816894531,0.6907265992681859
cifar10,dinov2_vits14_reg,mean_pool,1,1,20,0.6916999816894531,0.6907265992681859
cifar10,dinov2_vits14_reg,mean_pool,1,2,1,0.61080002784729,0.5668498323443251
cifar10,dinov2_vits14_reg,mean_pool,1,2,5,0.61080002784729,0.5668498323443251
cifar10,dinov2_vits14_reg,mean_pool,1,2,20,0.61080002784729,0.5668498323443251
cifar10,dinov2_vits14_reg,mean_pool,2,0,1,0.8187000155448914,0.8139122363937421
cifar10,dinov2_vits14_reg,mean_pool,2,0,5,0.8276000022888184,0.822462925219922
cifar10,dinov2_vits14_reg,mean_pool,2,0,20,0.8274000287055969,0.8223838734879287
cifar10,dinov2_vits14_reg,mean_pool,2,1,1,0.8159000277519226,0.8121098883681173
cifar10,dinov2_vits14_reg,mean_pool,2,1,5,0.828000009059906,0.8245958122974123
